"","name","address","Phone","website","type1","type2","description","lat","lon"
"1","Long Leaf Park Splashpad","8140 Hugh MacRae Rd, Wilmington, NC 28403",NA,"https://www.nhcgov.com/2392/Long-Leaf-Park","park","splashpad",NA,"34.208492",-77.883818
"2","Midway Park Splash Pad","4570 Deckard Dr, Jacksonville, NC 28544",NA,NA,"water park","splashpad",NA,"34.724464",-77.334684
"3","Atrium Health Ballpark","1 Cannon Baller Way Kannapolis, NC 28081",NA,"https://www.kannapolisnc.gov/government-departments/parks-recreation/parks","park","splashpad",NA,"35.498353",-80.627289
"4","Beatty's Ford Park","8335 Shipley Ln, Denver, NC 28037",NA,"https://www.lincolncountync.gov/129/Parks-and-Recreation","park","splashpad",NA,"35.482354",-80.957652
"5","Barber Park","1500 Barber Park Dr, Greensboro, NC 27401","(336) 373-5892","https://www.greensboro-nc.gov/departments/parks-recreation/parks-gardens/barber-park","park","splashpad",NA,"36.05352",-79.755428
"6","Splash Pad At Gray's Creek Park","5151 Celebration Dr, Hope Mills, NC 28348","910-433-1015","https://www.fayettevillenc.gov/Parks-and-Recreation/Pools-Aquatics","park","splashpad",NA,"34.920412",-78.9007018
"7","High Point City Lake Park Aquatic Center","602 W. Main St.Jamestown, NC 27282","(336) 883-3501","https://www.highpointnc.gov/2704/High-Point-City-Lake-Park-Aquatic-Center","aquatic center","splashpad",NA,"35.992998",-79.94910156
"8","Clarks Creek Park","5435 Hucks Road, Charlotte, NC 28269",NA,"https://www.google.com/maps/place/Clarks+Creek+Park/@35.3525813,-80.8087644,15z/data=!4m6!3m5!1s0x8856a71882932eeb:0xe41b623192124b36!8m2!3d35.3525813!4d-80.8087644!16s%2Fg%2F11s16t37vl?entry=tts&shorturl=1","park","splashpad",NA,"35.351139",-80.81041717
"9","Cordelia Park","600 E 24th St., Charlotte, NC 28205",NA,"https://www.google.com/maps/place/Cordelia+Park/@35.2365,-80.817465,15z/data=!4m6!3m5!1s0x8856a00ce5320d97:0xcba27f66b98fae9c!8m2!3d35.2365!4d-80.817465!16s%2Fm%2F0jw_2c5?entry=tts&shorturl=1","park","splashpad",NA,"35.238458",-80.81651705
"10","First Ward Park","301 E. 7th St., Charlotte, NC 28202",NA,"https://www.google.com/maps/place/First+Ward+Park/@35.2276781,-80.8364588,15z/data=!4m6!3m5!1s0x8856a02317814143:0x7dbf828e819029f6!8m2!3d35.2276781!4d-80.8364588!16s%2Fm%2F0135n45m?entry=tts&shorturl=1","park","splashpad",NA,"35.227639",-80.83750158
"11","Latta Park","601 E Park Ave., Charlotte, NC 28203",NA,"https://www.google.com/maps/place/Latta+Park/@35.2084877,-80.8479709,15z/data=!4m6!3m5!1s0x88569f84a9491283:0x2f927c303fd11b33!8m2!3d35.2084877!4d-80.8479709!16s%2Fm%2F0h52b73?entry=ttu&g_ep=EgoyMDI1MDUyMS4wIKXMDSoASAFQAw%3D%3D","park","splashpad",NA,"35.20999",-80.8513997
"12","Nevin Park","6000 Statesville Road, Charlotte, NC 28269",NA,"https://www.google.com/maps/place/Nevin+Park/@35.3017559,-80.832082,15z/data=!4m6!3m5!1s0x8856a0cc737163b3:0x1540d14a2b2372a2!8m2!3d35.3017559!4d-80.832082!16s%2Fm%2F012hsvjr?sa=X&ved=2ahUKEwjmt-i0552AAxXZFlkFHeyeALcQ_BJ6BAhPEAA&ved=2ahUKEwjmt-i0552AAxXZFlkFHeyeALcQ_BJ6BAhfEAg&entry=tts&shorturl=1","park","splashpad",NA,"35.301927",-80.83985499
"13","Veterans Park","2136 Central Ave., Charlotte, NC 28205",NA,"https://www.google.com/maps/place/2136+Central+Ave,+Charlotte,+NC+28205/@35.2177579,-80.8049462,17z/data=!3m1!4b1!4m6!3m5!1s0x88541fff317e2bd5:0x6e42e16e2bf3df36!8m2!3d35.2177579!4d-80.8049462!16s%2Fg%2F11c4f_chj6?entry=tts&shorturl=1","park","splashpad",NA,"35.219769",-80.80493509
"14","West Charlotte Park","2401 Kendall Drive, Charlotte, NC 28216",NA,"https://www.google.com/maps/place/West+Charlotte+Park/@35.2679926,-80.8574833,15z/data=!4m6!3m5!1s0x8856a101747639b9:0xb9db9641cfd5d22b!8m2!3d35.2679926!4d-80.8574833!16s%2Fg%2F1tqtyl9z?entry=tts&shorturl=1","park","splashpad",NA,"35.268602",-80.85669272
"15","North Mecklenburg Park","16131 Old Statesville RoadHuntersville, NC 28078",NA,"https://www.visitlakenorman.org/listing/north-mecklenburg-park/330/","park","splashpad",NA,"35.432542",-80.8435746
"16","Harrisburg Park","191 Sims Pkwy, Harrisburg, NC 28075",NA,"https://www.harrisburgnc.org//facilities/facility/details/Harrisburg-Park-3","park","splashpad",NA,"35.319561",-80.65981461
"17","Southmont Park","170 Owen Rd, Lexington, NC 27292",NA,"https://www.co.davidson.nc.us/facilities/facility/details/southmontpark-8","park","splashpad",NA,"35.764814",-80.26555843
"18","Hope Park","106 Montibello Dr, Mooresville, NC 28117",NA,"https://www.mooresvillenc.gov/government/departments/parks___recreation/parks/hope_park.php","park","splashpad",NA,"35.59354",-80.87979469
"19","Smithville Park","19710 S Ferry St, Cornelius, NC 28031",NA,"https://cornelius.org/business_detail_T10_R70.php","park","splashpad",NA,"35.482187",-80.86975887
"20","Keeley Park","4100 Keeley Rd, McLeansville, NC 27301",NA,"https://www.greensboro-nc.gov/departments/parks-recreation/parks-gardens/keeley-park","park","splashpad",NA,"36.111897",-79.71454835
"21","John Chavis Memorial Park","505 Martin Luther King Jr Blvd, Raleigh, NC 27601",NA,"https://raleighnc.gov/parks-and-recreation/places/john-chavis-memorial-park#paragraph--327031","park","splashpad",NA,"35.768129",-78.63005197
"22","Jack Smith Park","9725 Penny Rd, Raleigh, NC 27606",NA,"https://www.carync.gov/recreation-enjoyment/parks-greenways-environment/parks/jack-smith-park","park","splashpad",NA,"35.71152",-78.76501131
